Gn;SiO2;Al2O3;Fe2O3;CaO;SO3;K2O;Na2O;Dansite;s.CaO;C3S;C2S;C3A;C4AF;Alk Eq.;Toplam Alkali;Blaine;1 Gn;2 Gn;7 Gn;28 Gn
;;Min.      5,50;Max.   3,60;;;;;;;62,0;;;;;;;min 13,0;min.23,0;min.38;min.52,0
01.12.2022;;;;;;;;;;;;;;;;;;;;
02.12.2022;;;;;;;;;;;;;;;;;;;;
03.12.2022;;;;;;;;;;;;;;;;;;;;
04.12.2022;;;;;;;;;;;;;;;;;;;;
05.12.2022;;;;;;;;;;;;;;;;;;;;
06.12.2022;;;;;;;;;;;;;;;;;;;;
07.12.2022;;;;;;;;;;;;;;;;;;;;
08.12.2022;;;;;;;;;;;;;;;;;;;;
09.12.2022;;;;;;;;;;;;;;;;;;;;
10.12.2022;;;;;;;;;;;;;;;;;;;;
11.12.2022;;;;;;;;;;;;;;;;;;;;
12.12.2022;;;;;;;;;;;;;;;;;;;;
13.12.2022;;;;;;;;;;;;;;;;;;;;
14.12.2022;;;;;;;;;;;;;;;;;;;;
15.12.2022;;;;;;;;;;;;;;;;;;;;
16.12.2022;21,08;6,25;3,56;65,84;0,85;0,55;0,12;1268;0,51;56,24;18,03;10,55;10,83;0,48;0,73;3021;12,10;21,30;36,10;54,30
17.12.2022;20,87;6,03;3,50;66,54;0,73;0,52;0,04;1206;0,71;61,78;13,26;10,06;10,65;0,38;0,58;2987;12,60;23,00;41,70;55,40
18.12.2022;20,87;5,98;3,53;66,58;0,66;0,51;0,04;1204;0,51;63,24;12,15;9,88;10,74;0,38;0,57;2975;13,70;23,20;39,80;55,70
19.12.2022;20,91;5,71;3,53;66,73;0,75;0,50;0,09;1178;0,50;65,15;10,83;9,17;10,74;0,42;0,64;2985;13,20;22,80;37,90;54,40
20.12.2022;20,90;5,76;3,61;66,58;0,71;0,49;0,10;1228;0,59;63,91;11,73;9,16;10,99;0,42;0,64;2974;13,00;23,30;40,10;55,10
21.12.2022;21,06;5,64;3,69;66,82;0,58;0,45;0,07;1216;0,49;65,14;11,26;8,71;11,23;0,37;0,56;3090;12,20;22,60;38,70;54,60
22.12.2022;21,36;5,80;3,65;66,26;0,59;0,49;0,10;1260;0,46;59,66;16,26;9,20;11,11;0,42;0,64;3050;11,90;20,30;35,70;56,80
23.12.2022;21,31;5,80;3,56;66,50;0,56;0,48;0,07;1222;0,49;61,11;15,02;9,35;10,83;0,39;0,59;3040;12,70;21,90;36,70;54,10
24.12.2022;21,11;5,65;3,60;66,76;0,59;0,46;0,12;1205;0,48;64,59;11,82;8,89;10,95;0,42;0,64;3048;11,20;22,10;38,00;53,40
25.12.2022;21,42;5,74;3,58;66,39;0,64;0,48;0,05;1173;0,49;59,97;16,19;9,16;10,89;0,37;0,56;2977;13,90;22,90;36,60;53,30
26.12.2022;21,04;5,71;3,57;66,70;0,67;0,48;0,07;1185;0,50;64,21;11,91;9,10;10,86;0,39;0,59;3079;13,50;23,20;38,20;55,10
27.12.2022;21,26;5,70;3,61;66,50;0,70;0,44;0,07;1165;1,45;57,78;17,39;9,00;10,99;0,36;0,55;3080;14,10;22,80;36,10;51,40
28.12.2022;21,09;5,78;3,70;66,47;0,71;0,44;0,06;1211;0,66;61,47;14,11;9,06;11,26;0,35;0,53;3075;13,10;23,20;39,20;57,30
29.12.2022;20,97;5,78;3,70;66,58;0,69;0,46;0,08;1221;0,60;63,13;12,52;9,06;11,26;0,38;0,58;3024;13,70;23,40;39,00;55,80
30.12.2022;20,97;5,80;3,55;66,55;0,70;0,50;0,12;1202;0,62;62,98;12,63;9,37;10,80;0,45;0,68;3017;14,10;22,70;37,90;55,30
31.12.2022;20,95;5,85;3,52;66,54;0,77;0,51;0,11;1187;0,73;62,15;13,20;9,55;10,71;0,45;0,68;2990;14,20;22,30;36,30;52,90
01.01.2023;21,05;5,82;3,52;66,73;0,65;0,50;0,05;1166;1,37;60,10;15,03;9,47;10,71;0,38;0,58;3045;13,60;22,40;35,80;52,90
02.01.2023;20,92;5,69;3,53;66,69;0,80;0,53;0,06;1191;0,89;63,32;12,24;9,11;10,74;0,41;0,62;3005;13,70;22,80;38,80;52,90
03.01.2023;21,04;5,76;3,55;66,39;0,80;0,52;0,13;1222;0,76;61,21;14,17;9,26;10,80;0,47;0,72;2990;13,40;21,80;36,00;52,00
04.01.2023;20,83;5,75;3,61;66,83;0,73;0,46;0,05;1189;0,79;64,66;10,97;9,14;10,99;0,35;0,54;2980;13,70;23,50;38,90;54,00
05.01.2023;20,97;5,69;3,54;66,61;0,83;0,47;0,10;1158;1,06;61,82;13,51;9,10;10,77;0,41;0,62;3026;14,50;23,70;40,60;54,20
06.01.2023;21,05;5,77;3,56;66,29;0,87;0,53;0,06;1208;0,75;60,49;14,74;9,27;10,83;0,41;0,62;2970;13,10;22,10;36,40;53,20
07.01.2023;20,98;5,90;3,41;66,53;0,75;0,51;0,11;1186;0,87;61,19;14,01;9,87;10,38;0,45;0,68;2969;13,50;21,80;38,40;53,50
08.01.2023;20,93;5,79;3,44;66,72;0,74;0,53;0,09;1175;0,91;62,91;12,57;9,53;10,47;0,44;0,67;3001;15,20;24,40;39,10;55,40
09.01.2023;21,08;5,79;3,48;66,78;0,60;0,51;0,05;1185;1,16;61,34;14,19;9,46;10,59;0,39;0,59;2987;14,20;22,80;38,40;53,50
10.01.2023;21,05;5,72;3,36;66,82;0,63;0,52;0,16;1150;1,10;62,53;13,20;9,48;10,22;0,50;0,76;3067;15,30;24,50;37,50;54,30
11.01.2023;21,11;5,82;3,50;66,70;0,60;0,44;0,07;1210;0,80;62,02;13,76;9,51;10,65;0,36;0,55;3085;15,00;24,70;38,80;55,50
12.01.2023;21,15;5,99;3,54;66,59;0,58;0,42;0,07;1134;1,30;58,09;16,84;9,89;10,77;0,35;0,53;2990;15,30;24,10;39,90;54,70
